model,metric,n_seeds,mean,std,min,max,ci_lo,ci_hi,seeds_used,values
MOLM-ST (onehot),spec_aucs_mean,5,0.9783267500000001,0.0011148267802667377,0.9767750000000002,0.9798925,0.9769155000000002,0.97976275,"42,123,456,789,2024",0.979893;0.978191;0.976775;0.978180;0.978595
MOLM-ST (onehot),spec_mccs_mean,5,0.8569022947966772,0.007331304383975233,0.8486799548792415,0.8680495864840543,0.849160860439295,0.8671975318495054,"42,123,456,789,2024",0.868050;0.853489;0.848680;0.859529;0.854764
MOLM-ST (onehot),specificity_mean,5,0.9278000000000001,0.004233054452756259,0.9227500000000001,0.9339999999999999,0.92305,0.93355,"42,123,456,789,2024",0.934000;0.925750;0.922750;0.929500;0.927000
NN (ESM2),igg_aff_pval,5,8.433452818497372e-08,8.769934201243691e-08,1.526958256115973e-08,2.361732966163921e-07,1.7622532695696186e-08,2.2005727216677166e-07,"42,123,456,789,2024",0.000000;0.000000;0.000000;0.000000;0.000000
NN (ESM2),igg_aff_rho,5,0.7244410017646933,0.01611479576929384,0.7008619998725432,0.7450330890419633,0.7028146324302484,0.7436220108064859,"42,123,456,789,2024",0.700862;0.724999;0.720388;0.730922;0.745033
NN (ESM2),igg_spec_pval,5,2.1358957898548355e-05,1.3949684814336253e-05,1.3259427019602136e-05,4.5999489899446894e-05,1.3360637118458068e-05,4.329405816982259e-05,"42,123,456,789,2024",0.000019;0.000046;0.000013;0.000014;0.000014
NN (ESM2),igg_spec_rho,5,0.6086240970727251,0.01322946256176228,0.5857295194634201,0.6174492501478923,0.5880257638658387,0.6172708669108175,"42,123,456,789,2024",0.608692;0.585730;0.617449;0.615665;0.615584
NN (ESM2),iso_aff_pval,5,1.405840743688024e-40,2.057798957826501e-40,8.174844765398574e-42,4.934954113817733e-40,9.001928086584423e-42,4.59406691060569e-40,"42,123,456,789,2024",0.000000;0.000000;0.000000;0.000000;0.000000
NN (ESM2),iso_aff_rho,5,0.8756636715837913,0.0036013068832395517,0.8707178776296433,0.8795403347159988,0.870977273295608,0.879394625203904,"42,123,456,789,2024",0.876665;0.870718;0.879540;0.878083;0.873312
NN (ESM2),iso_spec_pval,5,1.1350003247076308e-15,5.50771851003567e-16,7.5499550402674075e-16,2.0300262726583006e-15,7.567231769397995e-16,1.957884530418696e-15,"42,123,456,789,2024",0.000000;0.000000;0.000000;0.000000;0.000000
NN (ESM2),iso_spec_rho,5,0.6371717771409882,0.0032407472055940136,0.6322146384320249,0.6396010498687664,0.6325450001936557,0.6395843746010964,"42,123,456,789,2024",0.639091;0.632215;0.639601;0.639434;0.635518
NN (Fusion-ESM2),igg_aff_pval,5,3.827265808581869e-06,4.558562518685484e-06,3.189659524954951e-07,9.014004555998035e-06,3.29181608084376e-07,8.97425410868864e-06,"42,123,456,789,2024",0.000009;0.000000;0.000000;0.000001;0.000009
NN (Fusion-ESM2),igg_aff_rho,5,0.6638546314731917,0.03402108619998323,0.6266322715823718,0.6954757087797292,0.626737696967781,0.6949671714085829,"42,123,456,789,2024",0.627687;0.690390;0.695476;0.679088;0.626632
NN (Fusion-ESM2),igg_spec_pval,5,7.139503833405748e-07,1.1103910144714456e-06,3.789510788554212e-08,2.618405538040143e-06,3.8035413951003924e-08,2.4348702403825605e-06,"42,123,456,789,2024",0.000000;0.000001;0.000003;0.000000;0.000000
NN (Fusion-ESM2),igg_spec_rho,5,0.7024099041388496,0.03443661727499436,0.6541904056550483,0.7312901887175102,0.6566369471532425,0.7312334304148045,"42,123,456,789,2024",0.730723;0.678656;0.654190;0.717190;0.731290
NN (Fusion-ESM2),iso_aff_pval,5,4.5978636022910456e-38,4.648508337529559e-38,7.945316530314151e-40,1.1815541817598068e-37,2.495471460754943e-39,1.1272578335390797e-37,"42,123,456,789,2024",0.000000;0.000000;0.000000;0.000000;0.000000
NN (Fusion-ESM2),iso_aff_rho,5,0.8620981107859848,0.004574039928395508,0.8578284840108709,0.8696490541519568,0.8579799613425614,0.8689273487705687,"42,123,456,789,2024",0.869649;0.861238;0.859343;0.857828;0.862432
NN (Fusion-ESM2),iso_spec_pval,5,3.729611144379161e-19,3.906534796087967e-19,5.092045973291124e-20,8.74583814904106e-19,5.3356931850616885e-20,8.585681410099019e-19,"42,123,456,789,2024",0.000000;0.000000;0.000000;0.000000;0.000000
NN (Fusion-ESM2),iso_spec_rho,5,0.6939830215070006,0.007752035105872524,0.6852493788873503,0.7022467078211478,0.685374229253238,0.7020198622931609,"42,123,456,789,2024",0.699978;0.686498;0.685249;0.695943;0.702247
NN (OneHot),igg_aff_pval,5,7.962100180388471e-06,5.50804237646499e-06,4.4710890220446986e-07,1.5140226068826442e-05,9.15601255242524e-07,1.462135089296785e-05,"42,123,456,789,2024",0.000015;0.000005;0.000000;0.000010;0.000009
NN (OneHot),igg_aff_rho,5,0.6387291126341703,0.029660170130152173,0.6142245146842092,0.6892807865173869,0.6152326401163604,0.6843053685838905,"42,123,456,789,2024",0.614225;0.639527;0.689281;0.624306;0.626308
NN (OneHot),igg_spec_pval,5,1.276231942983457e-07,2.0029046768564284e-07,2.7791884169078623e-08,4.854587926917384e-07,2.7897026942857047e-08,4.4202067968471577e-07,"42,123,456,789,2024",0.000000;0.000000;0.000000;0.000000;0.000000
NN (OneHot),igg_spec_rho,5,0.7229060721645777,0.020089797702208898,0.6877479401612576,0.7360741028027008,0.6916318819373217,0.7360173444999951,"42,123,456,789,2024",0.736074;0.728614;0.687748;0.726587;0.735507
