model,metric,n_seeds,mean,std
MOLM (Fusion-ESM2),affinity_accs_mean,5,0.9295500000000001,0.004378213105822973
MOLM (Fusion-ESM2),affinity_accs_std,5,0.008897426205215539,0.0029813602018927297
MOLM (Fusion-ESM2),affinity_mean,5,0.9295500000000001,0.004378213105822973
MOLM (Fusion-ESM2),affinity_std,5,0.008897426205215539,0.0029813602018927297
MOLM (Fusion-ESM2),spec_aps_mean,5,0.9789278248305664,0.00017496238551789224
MOLM (Fusion-ESM2),spec_aps_std,5,0.0030022639031077915,0.001332546985026472
MOLM (Fusion-ESM2),spec_aucs_mean,5,0.97899325,0.00024028076025762676
MOLM (Fusion-ESM2),spec_aucs_std,5,0.002840194256448229,0.0008472351803355659
MOLM (Fusion-ESM2),spec_mccs_mean,5,0.8579435929003708,0.001753440169084351
MOLM (Fusion-ESM2),spec_mccs_std,5,0.017984410231713138,0.005119344857119175
MOLM (Fusion-ESM2),specificity_accs_mean,5,0.9285,0.000728868986855668
MOLM (Fusion-ESM2),specificity_accs_std,5,0.009261012913555874,0.002635962778320061
MOLM (Fusion-ESM2),specificity_mean,5,0.9285,0.000728868986855668
MOLM (Fusion-ESM2),specificity_std,5,0.009261012913555874,0.002635962778320061
MOLM (OneHot),aff_aps_mean,5,0.9661878241185899,0.003273613649712083
MOLM (OneHot),aff_aps_std,5,0.006349839155018792,0.0033696607243359536
MOLM (OneHot),aff_aucs_mean,5,0.976069362532223,0.0012088486963761063
MOLM (OneHot),aff_aucs_std,5,0.002738740564798077,0.0017095795106969933
MOLM (OneHot),aff_mccs_mean,5,0.8530749465302779,0.009091508617808356
MOLM (OneHot),aff_mccs_std,5,0.01871442634047184,0.0038154178785726684
MOLM (OneHot),affinity_accs_mean,5,0.9289999999999999,0.005117372372614638
MOLM (OneHot),affinity_accs_std,5,0.010425193491283681,0.0015773160230659897
MOLM (OneHot),affinity_mean,5,0.9289999999999999,0.005117372372614638
MOLM (OneHot),affinity_std,5,0.010425193491283681,0.0015773160230659897
